"name","chr","description"
"IL3","5","interleukin"
"CSF2","5","colony"
"SEPT8","5","septin"
"SHROOM1","5","shroom"
"GDF9","5","growth"
"UQCRQ","5","ubiquinol-cytochrome"
"LEAP2","5","liver"
"GJB7","6","gap"
"SLC35A1","6","solute"
"GRIK2","6","glutamate"
"CGAS","6","cyclic"
"FABP7","6","fatty"
"TLX3","5","T"
"TXLNB","6","taxilin"
"CITED2","6","Cbp/p300"
"CALHM4","6","calcium"
"TBXT","6","T-box"
"CREBRF","5","CREB3"
"DCBLD1","6","discoidin,"
"SFXN1","5","sideroflexin"
"SAMD3","6","sterile"
"TMEM200A","6","transmembrane"
"IL22RA2","6","interleukin"
"DACT2","6","dishevelled"
"PDSS2","6","decaprenyl"
"SPATA48","7","spermatogenesis"
"STXBP5","6","syntaxin"
"HIST1H2AA","6","histone"
"IL31RA","5","interleukin"
"ANKRD55","5","ankyrin"
"RAET1E","6","retinoic"
"PI16","6","peptidase"
"TBX20","7","T-box"
"DAGLB","7","diacylglycerol"
"KIAA0895","7","KIAA0895"
"STK17A","7","serine/threonine"
"TRA2A","7","transformer"
"GALNT10","5","polypeptide"
"SAP30L","5","SAP30"
"RPS14","5","ribosomal"
"HCN1","5","hyperpolarization"
"MYOZ3","5","myozenin"
"COG5","7","component"
"NEUROD6","7","neuronal"
"BMT2","7","base"
"GPR85","7","G"
"SLU7","5","SLU7"
"RP9","7","RP9,"
"PTTG1","5","pituitary"
"CAMLG","5","calcium"
"BMPER","7","BMP"
"RELL2","5","RELT"
"KCNK5","6","potassium"
"KIF6","6","kinesin"
"ZNF12","7","zinc"
"SLC29A4","7","solute"
"TEX47","7","testis"
"STEAP1","7","STEAP"
"CDCA7L","7","cell"
"SP8","7","Sp8"
"MIOS","7","meiosis"
"KIAA1324L","7","KIAA1324"
"USP49","6","ubiquitin"
"SYTL3","6","synaptotagmin"
"IQUB","7","IQ"
"HEY1","8","hes"
"ZNF704","8","zinc"
"FABP5","8","fatty"
"SHH","7","sonic"
"TAGAP","6","T"
"COL1A2","7","collagen"
"FNDC1","6","fibronectin"
"CHMP4C","8","charged"
"SLC13A4","7","solute"
"PGAM2","7","phosphoglycerate"
"BRI3","7","brain"
"LMTK2","7","lemur"
"SLC35G3","17","solute"
"CTSB","8","cathepsin"
"SOX17","8","SRY-box"
"DLC1","8","DLC1"
"ADCY1","7","adenylate"
"C8orf48","8","chromosome"
"SUN3","7","Sad1"
"C7orf57","7","chromosome"
"HNF4G","8","hepatocyte"
"PEX2","8","peroxisomal"
"RAD21","8","RAD21"
"SLC30A8","8","solute"
"MED30","8","mediator"
"TNFRSF11B","8","TNF"
"SBSPON","8","somatomedin"
"PHKG1","7","phosphorylase"
"EN2","7","engrailed"
"KCNV1","8","potassium"
"CSMD3","8","CUB"
"SPIDR","8","scaffold"
"ORC5","7","origin"
"DEFA5","8","defensin"
"DNAAF5","7","dynein"
"DEFA4","8","defensin"
"DEFA6","8","defensin"
"OSGIN2","8","oxidative"
"DEFB1","8","defensin"
"SUN1","7","Sad1"
"OXR1","8","oxidation"
"TMEM74","8","transmembrane"
"GPR146","7","G"
"GPER1","7","G"
"UNCX","7","UNC"
"TMEM184A","7","transmembrane"
"NOS3","7","nitric"
"SPAG11B","8","sperm"
"MICALL2","7","MICAL"
"CA3","8","carbonic"
"INTS1","7","integrator"
"CDK5","7","cyclin"
"SLC4A2","7","solute"
"SLC7A13","8","solute"
"FASTK","7","Fas"
"TMUB1","7","transmembrane"
"FMC1","7","formation"
"GBX1","7","gastrulation"
"PHAX","5","phosphorylated"
"ALDH7A1","5","aldehyde"
"FOXK1","7","forkhead"
"COX6C","8","cytochrome"
"OSR2","8","odd-skipped"
"YWHAZ","8","tyrosine"
"BAALC","8","BAALC,"
"FZD6","8","frizzled"
"CTHRC1","8","collagen"
"SLC25A32","8","solute"
"DCAF13","8","DDB1"
"DCSTAMP","8","dendrocyte"
"TP53INP1","8","tumor"
"INTS8","8","integrator"
"VIRMA","8","vir"
"FREM1","9","FRAS1"
"GEM","8","GTP"
"PDP1","8","pyruvate"
"TMEM67","8","transmembrane"
"WASHC5","8","WASH"
"RPP25L","9","ribonuclease"
"FAM219A","9","family"
"C9orf24","9","chromosome"
"SNAPC3","9","small"
"MYORG","9","myogenesis"
"NUDT2","9","nudix"
"TMEM65","8","transmembrane"
"PSIP1","9","PC4"
"CCDC171","9","coiled-coil"
"UBAP1","9","ubiquitin"
"DIRAS2","9","DIRAS"
"SYK","9","spleen"
"NIPSNAP3B","9","nipsnap"
"ABCA1","9","ATP"
"NFIL3","9","nuclear"
"LETM2","8","leucine"
"METTL2B","7","methyltransferase"
"PRKACG","9","protein"
"FXN","9","frataxin"
"ZMAT4","8","zinc"
"NKX6-3","8","NK6"
"TMEM71","8","transmembrane"
"MAMDC2","9","MAM"
"PRSS37","7","serine"
"CPA6","8","carboxypeptidase"
"C8orf34","8","chromosome"
"TMC1","9","transmembrane"
"ALDH1A1","9","aldehyde"
"KDM1B","6","lysine"
"HGSNAT","8","heparan-alpha-glucosaminide"
"RASEF","9","RAS"
"GKAP1","9","G"
"KIF27","9","kinesin"
"C9orf64","9","chromosome"
"HNRNPK","9","heterogeneous"
"SSMEM1","7","serine"
"SVEP1","9","sushi,"
"TRPV6","7","transient"
"LLCFC1","7","LLLL"
"ANKS6","9","ankyrin"
"FBP1","9","fructose-bisphosphatase"
"TMEM246","9","transmembrane"
"ZHX1","8","zinc"
"CFAP47","X","cilia"
"CYBB","X","cytochrome"
"DYNLT3","X","dynein"
"METTL27","7","methyltransferase"
"MID1IP1","X","MID1"
"C9orf84","9","chromosome"
"CXorf58","X","chromosome"
"KIAA1958","9","KIAA1958"
"PTCHD1","X","patched"
"RNF183","9","ring"
"ASB11","X","ankyrin"
"PCDH19","X","protocadherin"
"PIGA","X","phosphatidylinositol"
"VEGFD","X","vascular"
"OR1Q1","9","olfactory"
"OR1K1","9","olfactory"
"STRBP","9","spermatid"
"CLDN3","7","claudin"
"GAPVD1","9","GTPase"
"CARD19","9","caspase"
"WNK2","9","WNK"
"ATP7A","X","ATPase"
"ZNF367","9","zinc"
"NLGN4Y","Y","neuroligin"
"HDX","X","highly"
"NDUFB6","9","NADH:ubiquinone"
"AQP7","9","aquaporin"
"NOL6","9","nucleolar"
"AQP3","9","aquaporin"
"TRMT10B","9","tRNA"
"VCP","9","valosin"
"PIGO","9","phosphatidylinositol"
"STOML2","9","stomatin"
"BRWD3","X","bromodomain"
"SLITRK5","13","SLIT"
"MELK","9","maternal"
"ARMC3","10","armadillo"
"OTUD1","10","OTU"
"ARHGAP12","10","Rho"
"FAT3","11","FAT"
"DEUP1","11","deuterosome"
"HECTD2","10","HECT"
"SLC7A3","X","solute"
"FBXO33","14","F-box"
"INTS6L","X","integrator"
"GPR101","X","G"
"CLDN2","X","claudin"
"LRFN5","14","leucine"
"LRRC18","10","leucine"
"SPTSSA","14","serine"
"WRN","8","Werner"
"MARCH8","10","membrane"
"TSHR","14","thyroid"
"CFL2","14","cofilin"
"SUGT1","13","SGT1"
"GTF2A1","14","general"
"ZCCHC24","10","zinc"
"PGM2L1","11","phosphoglucomutase"
"PHYHIPL","10","phytanoyl-CoA"
"SLC16A9","10","solute"
"FOLR2","11","folate"
"INPPL1","11","inositol"
"PHOX2A","11","paired"
"MBL2","10","mannose"
"GJB2","13","gap"
"CRYL1","13","crystallin"
"REEP3","10","receptor"
"HEPACAM","11","hepatic"
"SKA3","13","spindle"
"MICU2","13","mitochondrial"
"DDIAS","11","DNA"
"PCF11","11","PCF11,"
"PKNOX2","11","PBX/knotted"
"RPL10L","14","ribosomal"
"LRR1","14","leucine"
"RPL36AL","14","ribosomal"
"DNAAF2","14","dynein"
"DEPP1","10","DEPP1,"
"MAGEC3","X","MAGE"
"ZNF22","10","zinc"
"KLHDC2","14","kelch"
"EML5","14","echinoderm"
"NEMF","14","nuclear"
"RPUSD4","11","RNA"
"ARF6","14","ADP"
"TTC8","14","tetratricopeptide"
"TMEM63C","14","transmembrane"
"NGB","14","neuroglobin"
"NOXRED1","14","NADP"
"CDX2","13","caudal"
"AMER2","13","APC"
"AKR1E2","10","aldo-keto"
"KBTBD6","13","kelch"
"SSX5","X","SSX"
"SSX3","X","SSX"
"OTX2","14","orthodenticle"
"FAAH2","X","fatty"
"DRGX","10","dorsal"
"NUDT5","10","nudix"
"DACT1","14","dishevelled"
"OXGR1","13","oxoglutarate"
"UCMA","10","upper"
"BEND7","10","BEN"
"ATP5F1C","10","ATP"
"PRPF18","10","pre-mRNA"
"TAF3","10","TATA-box"
"VSTM4","10","V-set"
"VDAC2","10","voltage"
"SOHLH1","9","spermatogenesis"
"COMTD1","10","catechol-O-methyltransferase"
"SLC18A2","10","solute"
"PDZD8","10","PDZ"
"ZNF503","10","zinc"
"ABRAXAS2","10","abraxas"
"QSOX2","9","quiescin"
"FAM204A","10","family"
"NSD1","5","nuclear"
"PRDX3","10","peroxiredoxin"
"ENOX2","X","ecto-NOX"
"GHITM","10","growth"
"CLEC1B","12","C-type"
"SNAPC4","9","small"
"TMEM52B","12","transmembrane"
"PMPCA","9","peptidase,"
"ENTR1","9","endosome"
"FRMD7","X","FERM"
"AK8","9","adenylate"
"SPACA9","9","sperm"
"TSC1","9","TSC"
"GFI1B","9","growth"
"HPRT1","X","hypoxanthine"
"BORCS5","12","BLOC-1"
"FAM69B","9","family"
"ZMYND19","9","zinc"
"STOX1","10","storkhead"
"RET","10","ret"
"DDX21","10","DExD-box"
"BMS1","10","BMS1,"
"STK32C","10","serine/threonine"
"JCAD","10","junctional"
"OR4K2","14","olfactory"
"FUNDC2","X","FUN14"
"PIP4P1","14","phosphatidylinositol-4,5-bisphosphate"
"METTL17","14","methyltransferase"
"SLC39A2","14","solute"
"NDRG2","14","NDRG"
"RNASE7","14","ribonuclease"
"ARHGEF40","14","Rho"
"NSMF","9","NMDA"
"ZNF219","14","zinc"
"C12orf50","12","chromosome"
"CASP7","10","caspase"
"PPP1R36","14","protein"
"BTNL9","5","butyrophilin"
"CCDC186","10","coiled-coil"
"VWA2","10","von"
"METTL3","14","methyltransferase"
"SALL2","14","spalt"
"PRAP1","10","proline"
"TRUB1","10","TruB"
"ERICH6B","13","glutamate"
"CYP2C19","10","cytochrome"
"ZFYVE1","14","zinc"
"C10orf82","10","chromosome"
"HSPA12A","10","heat"
"FRAT1","10","FRAT1,"
"UBTD1","10","ubiquitin"
"ANKRD2","10","ankyrin"
"E2F7","12","E2F"
"ARHGAP42","11","Rho"
"ISCA2","14","iron-sulfur"
"OTOGL","12","otogelin"
"LARGE2","11","LARGE"
"PACSIN3","11","protein"
"TTC7B","14","tetratricopeptide"
"SLC39A13","11","solute"
"PSMC3","11","proteasome"
"RAPSN","11","receptor"
"AGBL2","11","ATP/GTP"
"TC2N","14","tandem"
"CPSF2","14","cleavage"
"SMCO2","12","single-pass"
"MOAP1","14","modulator"
"IFI27L1","14","interferon"
"IFI27","14","interferon"
"SERPINA12","14","serpin"
"CLMN","14","calmin"
"PDZRN4","12","PDZ"
"SLC6A5","11","solute"
"CCDC38","12","coiled-coil"
"NELL1","11","neural"
"PTER","10","phosphotriesterase"
"C1QL3","10","complement"
"CACNB2","10","calcium"
"HACD1","10","3-hydroxyacyl-CoA"
"ARL5B","10","ADP"
"SMCO4","11","single-pass"
"CEP295","11","centrosomal"
"KCNC2","12","potassium"
"TAF1D","11","TATA-box"
"ABTB2","11","ankyrin"
"R3HCC1L","10","R3H"
"AMOTL1","11","angiomotin"
"HTRA1","10","HtrA"
"LIPC","15","lipase"
"CEP57","11","centrosomal"
"TCP11L2","12","t-complex"
"PASD1","X","PAS"
"SPRED1","15","sprouty"
"TMCO5A","15","transmembrane"
"GPR176","15","G"
"JAM3","11","junctional"
"IL25","14","interleukin"
"CMTM5","14","CKLF"
"GLB1L3","11","galactosidase"
"ADAMTS15","11","ADAM"
"SVOP","12","SV2"
"SPATA19","11","spermatogenesis"
"GPT2","16","glutamic--pyruvic"
"AMN","14","amnion"
"RAB8B","15","RAB8B,"
"IKBIP","12","IKBKB"
"RPUSD2","15","RNA"
"HIF1AN","10","hypoxia"
"NDUFB8","10","NADH:ubiquinone"
"ZFYVE19","15","zinc"
"PPP1R14D","15","protein"
"SPINT1","15","serine"
"FBN1","15","fibrillin"
"AVPR1A","12","arginine"
"C16orf78","16","chromosome"
"DEPDC4","12","DEP"
"LRTM2","12","leucine"
"OPN1MW2","X","opsin"
"BRD7","16","bromodomain"
"CKB","14","creatine"
"TRMT61A","14","tRNA"
"BTRC","10","beta-transducin"
"POLL","10","DNA"
"BAG5","14","BCL2"
"DPCD","10","deleted"
"LARP6","15","La"
"API5","11","apoptosis"
"ASPG","14","asparaginase"
"ZNF319","16","zinc"
"HPS6","10","HPS6,"
"SENP8","15","SUMO"
"NOLC1","10","nucleolar"
"ALKBH3","11","alkB"
"COPS2","15","COP9"
"GABRB3","15","gamma-aminobutyric"
"SPIC","12","Spi-C"
"TBATA","10","thymus,"
"SGPL1","10","sphingosine-1-phosphate"
"FRS2","12","fibroblast"
"CCT2","12","chaperonin"
"PCBD1","10","pterin-4"
"ARIH1","15","ariadne"
"C16orf71","16","chromosome"
"CLMP","11","CXADR"
"SCN3B","11","sodium"
"COX11","17","COX11,"
"ZNF202","11","zinc"
"FAM227B","15","family"
"STXBP4","17","syntaxin"
"CYYR1","21","cysteine"
"CUL5","11","cullin"
"MYRFL","12","myelin"
"WBP1L","10","WW"
"BORCS7","10","BLOC-1"
"C2","6","complement"
"PLEKHF1","19","pleckstrin"
"TMEM100","17","transmembrane"
"ANAPC16","10","anaphase"
"SMPD1","11","sphingomyelin"
"APBB1","11","amyloid"
"SYNPO2L","10","synaptopodin"
"NUDT13","10","nudix"
"C11orf65","11","chromosome"
"TRIM44","11","tripartite"
"CCDC182","17","coiled-coil"
"ILK","11","integrin"
"TAF10","11","TATA-box"
"TPP1","11","tripeptidyl"
"DCHS1","11","dachsous"
"NETO1","18","neuropilin"
"MSS51","10","MSS51"
"CYB5A","18","cytochrome"
"USP54","10","ubiquitin"
"RAG1","11","recombination"
"POTED","21","POTE"
"C11orf74","11","chromosome"
"WDR88","19","WD"
"OR10A5","11","olfactory"
"OR2D2","11","olfactory"
"ATP9B","18","ATPase"
"PPFIBP2","11","PPFIA"
"MOGAT2","11","monoacylglycerol"
"CYB5R2","11","cytochrome"
"SERPINB7","18","serpin"
"KIAA0355","19","KIAA0355"
"SERPINB8","18","serpin"
"TUB","11","tubby"
"RIC3","11","RIC3"
"LMO1","11","LIM"
"IDH3A","15","isocitrate"
"WDR72","15","WD"
"CRABP1","15","cellular"
"PLD4","14","phospholipase"
"ZMAT1","X","zinc"
"XRRA1","11","X-ray"
"TRIM66","11","tripartite"
"RNF169","11","ring"
"RPL27A","11","ribosomal"
"ST5","11","suppression"
"CDYL2","16","chromodomain"
"TMEM130","7","transmembrane"
"PRTG","15","protogenin"
"CENPN","16","centromere"
"AKIP1","11","A-kinase"
"ATMIN","16","ATM"
"C16orf46","16","chromosome"
"TMEM41B","11","transmembrane"
"LEO1","15","LEO1"
"ZNF143","11","zinc"
"TMX3","18","thioredoxin"
"MFAP4","17","microfibril"
"WEE1","11","WEE1"
"MAPK7","17","mitogen-activated"
"PRKCB","16","protein"
"HDGFL3","15","HDGF"
"NDST2","10","N-deacetylase"
"MCM7","7","minichromosome"
"CLEC3A","16","C-type"
"CCDC68","18","coiled-coil"
"CLEC4E","12","C-type"
"ZNF3","7","zinc"
"CLEC4D","12","C-type"
"ZSCAN21","7","zinc"
"RIMKLB","12","ribosomal"
"A2ML1","12","alpha-2-macroglobulin"
"BEAN1","16","brain"
"TK2","16","thymidine"
"TMED3","15","transmembrane"
"SLC38A8","16","solute"
"SEC11C","18","SEC11"
"CPLX4","18","complexin"
"GALR1","18","galanin"
"TMEM135","11","transmembrane"
"IQCD","12","IQ"
"NDEL1","17","nudE"
"CENPV","17","centromere"
"CDH16","16","cadherin"
"RRAD","16","RRAD,"
"FAM96B","16","family"
"CFAP52","17","cilia"
"HSP90B1","12","heat"
"MC4R","18","melanocortin"
"BLCAP","20","BLCAP,"
"SERPINB12","18","serpin"
"CHRFAM7A","15","CHRNA7"
"ATF7IP2","16","activating"
"MMP10","11","matrix"
"TVP23A","16","trans-golgi"
"BEX3","X","brain"
"TMPRSS5","11","transmembrane"
"COG1","17","component"
"PLEKHA7","11","pleckstrin"
"ZNF606","19","zinc"
"ZCCHC18","X","zinc"
"B2M","15","beta-2-microglobulin"
"ZNF592","15","zinc"
"CASC4","15","cancer"
"HTR3A","11","5-hydroxytryptamine"
"NNMT","11","nicotinamide"
"ACSM1","16","acyl-CoA"
"AP1G1","16","adaptor"
"SLFN5","17","schlafen"
"CATSPER2","15","cation"
"C16orf45","16","chromosome"
"MARF1","16","meiosis"
"SAAL1","11","serum"
"YPEL4","11","yippee"
"PPIB","15","peptidylprolyl"
"LDHC","11","lactate"
"FAM96A","15","family"
"LDHAL6A","11","lactate"
"FAM111A","11","family"
"PCLAF","15","PCNA"
"KIF7","15","kinesin"
"LDHD","16","lactate"
"PLIN1","15","perilipin"
"PEX11A","15","peroxisomal"
"TMEM170A","16","transmembrane"
"MESP1","15","mesoderm"
"ANPEP","15","alanyl"
"SCNN1G","16","sodium"
"RBPMS2","15","RNA"
"NAV2","11","neuron"
"ANKDD1A","15","ankyrin"
"GLYATL1","11","glycine-N-acyltransferase"
"C18orf54","18","chromosome"
"DCTN5","16","dynactin"
"TERF2IP","16","TERF2"
"PLK1","16","polo"
"CLPX","15","caseinolytic"
"GPR182","12","G"
"ZBTB39","12","zinc"
"CACNG2","22","calcium"
"TAC3","12","tachykinin"
"MYO1A","12","myosin"
"CHP2","16","calcineurin"
"NEMP1","12","nuclear"
"OR4D6","11","olfactory"
"NAB2","12","NGFI-A"
"VPS39","15","VPS39,"
"STAT6","12","signal"
"PATL1","11","PAT1"
"ATP23","12","ATP23"
"ELFN2","22","extracellular"
"STX3","11","syntaxin"
"MRPL16","11","mitochondrial"
"PIP4K2C","12","phosphatidylinositol-5-phosphate"
"MTMR10","15","myotubularin"
"YWHAB","20","tyrosine"
"C15orf48","15","chromosome"
"SCG5","15","secretogranin"
"GREM1","15","gremlin"
"NYAP1","7","neuronal"
"TSC22D4","7","TSC22"
"MS4A6E","11","membrane"
"MS4A7","11","membrane"
"MS4A14","11","membrane"
"MS4A5","11","membrane"
"DIS3L","15","DIS3"
"CCNDBP1","15","cyclin"
"EPB42","15","erythrocyte"
"TGM6","20","transglutaminase"
"SMAD3","15","SMAD"
"MS4A8","11","membrane"
"CCDC178","18","coiled-coil"
"MS4A15","11","membrane"
"MAP1A","15","microtubule"
"RCCD1","15","RCC1"
"AKTIP","16","AKT"
"MAPRE2","18","microtubule"
"EVA1C","21","eva-1"
"TCP10L2","6","t-complex"
"MARS","12","methionyl-tRNA"
"MBD6","12","methyl-CpG"
"CNPY4","7","canopy"
"PDIA3","15","protein"
"NUDT21","16","nudix"
"NAT16","7","N-acetyltransferase"
"TERB2","15","telomere"
"NKX3-1","8","NK3"
"SGSM1","22","small"
"DUSP18","22","dual"
"TEF","22","TEF,"
"MEI1","22","meiotic"
"B4GALNT2","17","beta-1,4-N-acetyl-galactosaminyltransferase"
"PBX3","9","PBX"
"GNGT2","17","G"
"PHB","17","prohibitin"
"SNRPD1","18","small"
"TTC16","9","tetratricopeptide"
"SUN5","20","Sad1"
"SAMD14","17","sterile"
"PIP5KL1","9","phosphatidylinositol-4-phosphate"
"BPIFB6","20","BPI"
"TMEM92","17","transmembrane"
"FAM102A","9","family"
"ACSF2","17","acyl-CoA"
"GOLGA2","9","golgin"
"TRUB2","9","TruB"
"COQ4","9","coenzyme"
"SLC27A4","9","solute"
"LINC00483","17","long"
"URM1","9","ubiquitin"
"CERCAM","9","cerebral"
"DOLPP1","9","dolichyldiphosphatase"
"CCDC103","17","coiled-coil"
"ENDOG","9","endonuclease"
"TBC1D21","15","TBC1"
"PRRX2","9","paired"
"UGT1A6","2","UDP"
"C15orf39","15","chromosome"
"ISLR2","15","immunoglobulin"
"SP2","17","Sp2"
"PRR15L","17","proline"
"COQ7","16","coenzyme"
"GPRC5B","16","G"
"CRK","17","CRK"
"C16orf92","16","chromosome"
"GOLGA6C","15","golgin"
"FBXO22","15","F-box"
"TBC1D2B","15","TBC1"
"NOD2","16","nucleotide"
"SNX20","16","sorting"
"LOXHD1","18","lipoxygenase"
"KATNAL2","18","katanin"
"HDHD2","18","haloacid"
"ZNF91","19","zinc"
"IGF2","11","insulin"
"RNF214","11","ring"
"CDK12","17","cyclin"
"DPEP2","16","dipeptidase"
"DUS2","16","dihydrouridine"
"POP5","12","POP5"
"ENGASE","17","endo-beta-N-acetylglucosaminidase"
"RBFOX3","17","RNA"
"ATP5MG","11","ATP"
"CD3D","11","CD3d"
"TBC1D16","17","TBC1"
"TEPSIN","17","TEPSIN,"
"MYO5B","18","myosin"
"ART5","11","ADP-ribosyltransferase"
"ACAA2","18","acetyl-CoA"
"STIM1","11","stromal"
"RRM1","11","ribonucleotide"
"OR51E2","11","olfactory"
"TRIM68","11","tripartite"
"MMP26","11","matrix"
"OR51B5","11","olfactory"
"OR51I1","11","olfactory"
"OR51Q1","11","olfactory"
"FN3K","17","fructosamine"
"PRRT2","16","proline"
"ZNF23","16","zinc"
"IRGQ","19","immunity"
"ZNF226","19","zinc"
"ZNF180","19","zinc"
"PPP2R3B","X","protein"
"ZNF668","16","zinc"
"ZNF646","16","zinc"
"VKORC1","16","vitamin"
"GNG8","19","G"
"LPO","17","lactoperoxidase"
"CA4","17","carbonic"
"SMG8","17","SMG8,"
"TPM4","19","tropomyosin"
"RAB8A","19","RAB8A,"
"GPX4","19","glutathione"
"MIDN","19","midnolin"
"JSRP1","19","junctional"
"FAM129C","19","family"
"KLHL26","19","kelch"
"GATAD2A","19","GATA"
"MVD","16","mevalonate"
"CDT1","16","chromatin"
"TRAPPC2L","16","trafficking"
"ANKRD11","16","ankyrin"
"SPATA33","16","spermatogenesis"
"SGK494","17","uncharacterized"
"PROCA1","17","protein"
"RPL13","16","ribosomal"
"ZNF641","12","zinc"
"LALBA","12","lactalbumin"
"CACNB3","12","calcium"
"DHRS13","17","dehydrogenase/reductase"
"TP53I13","17","tumor"
"KMT2D","12","lysine"
"CORO6","17","coronin"
"RHEBL1","12","RHEB"
"TUBA1A","12","tubulin"
"TUBA1C","12","tubulin"
"ZNF610","19","zinc"
"ZNF528","19","zinc"
"ZNF701","19","zinc"
"SERTAD3","19","SERTA"
"NCKAP5L","12","NCK"
"RAB4B","19","RAB4B,"
"AQP2","12","aquaporin"
"GPD1","12","glycerol-3-phosphate"
"PROSER3","19","proline"
"CYP2S1","19","cytochrome"
"AXL","19","AXL"
"NFKBID","19","NFKB"
"TMC4","19","transmembrane"
"ANKRD33","12","ankyrin"
"LAIR1","19","leukocyte"
"TTYH1","19","tweety"
"LENG8","19","leukocyte"
"CDC42EP5","19","CDC42"
"LAIR2","19","leukocyte"
"TMEM145","19","transmembrane"
"ZNF526","19","zinc"
"TRAPPC9","8","trafficking"
"KIR3DL1","19","killer"
"NLRP7","19","NLR"
"ZNF146","19","zinc"
"ZNF283","19","zinc"
"PPP1R14A","19","protein"
"SPINT2","19","serine"
"C19orf33","19","chromosome"
"YIF1B","19","Yip1"
"DNAAF3","19","dynein"
"PSCA","8","prostate"
"ATCAY","19","ATCAY,"
"LY6D","8","lymphocyte"
"DAPK3","19","death"
"EEF2","19","eukaryotic"
"TMIGD2","19","transmembrane"
"CHAF1A","19","chromatin"
"UBXN6","19","UBX"
"HDGFL2","19","HDGF"
"PLIN4","19","perilipin"
"SEMA6B","19","semaphorin"
"ZNF444","19","zinc"
"NXN","17","nucleoredoxin"
"FAM57A","17","family"
"GLOD4","17","glyoxalase"
"MFSD3","8","major"
"GPT","8","glutamic--pyruvic"
"KIFC2","8","kinesin"
"SLC43A2","17","solute"
"RILP","17","Rab"
"SERPINF2","17","serpin"
"WDR81","17","WD"
"SRR","17","serine"
"TSR1","17","TSR1,"
"TRPV3","17","transient"
"HSD11B1L","19","hydroxysteroid"
"CYB5D2","17","cytochrome"
"GGT6","17","gamma-glutamyltransferase"
"C19orf48","19","chromosome"
"KLK1","19","kallikrein"
"KLK4","19","kallikrein"
"KLK2","19","kallikrein"
"KLK5","19","kallikrein"
"KLK6","19","kallikrein"
"KLK11","19","kallikrein"
"KLK13","19","kallikrein"
"ZNF83","19","zinc"
"KRT80","12","keratin"
"KRT1","12","keratin"
"ACER1","19","alkaline"
"OTUB1","11","OTU"
"RCOR2","11","REST"
"ANGPTL4","19","angiopoietin"
"CD320","19","CD320"
"SPRYD3","12","SPRY"
"IGFBP6","12","insulin"
"SOAT2","12","sterol"
"ZNF558","19","zinc"
"CABP2","11","calcium"
"NDUFV1","11","NADH:ubiquinone"
"CDK2AP2","11","cyclin"
"NUDT8","11","nudix"
"TBX10","11","T-box"
"PRDX2","19","peroxiredoxin"
"OR8J3","11","olfactory"
"OR5I1","11","olfactory"
"ZNF232","17","zinc"
"MIS12","17","MIS12,"
"CD300C","17","CD300c"
"CD300A","17","CD300a"
"TEKT1","17","tektin"
"HID1","17","HID1"
"MRPL58","17","mitochondrial"
"ATP5PD","17","ATP"
"TMEM88","17","transmembrane"
"EVPL","17","envoplakin"
"SRP68","17","signal"
"MGAT5B","17","mannosyl"
"TMC8","17","transmembrane"
"TK1","17","thymidine"
"TMEM68","8","transmembrane"
"CYP7A1","8","cytochrome"
"GSDMA","17","gasdermin"
"KRT24","17","keratin"
"TMEM99","17","transmembrane"
"GHDC","17","GH3"
"FAM234A","16","family"
"SOST","17","sclerostin"
"PRR25","16","proline"
"ZNF598","16","zinc"
"RAB26","16","RAB26,"
"MLST8","16","MTOR"
"E4F1","16","E4F"
"DNASE1L2","16","deoxyribonuclease"
"ECI1","16","enoyl-CoA"
"CASKIN1","16","CASK"
"ABCA3","16","ATP"
"KCTD5","16","potassium"
"SRRM2","16","serine/arginine"
"ZNF597","16","zinc"
"NLRC3","16","NLR"
"SDHAF2","11","succinate"
"DDB1","11","damage"
"VPS37C","11","VPS37C,"
"VWCE","11","von"
"RAB3IL1","11","RAB3A"
"BEST1","11","bestrophin"
"FTH1","11","ferritin"
"BSCL2","11","BSCL2,"
"POLR2G","11","RNA"
"SLC3A2","11","solute"
"HRASLS5","11","HRAS"
"SPINDOC","11","spindlin"
"ATG16L2","11","autophagy"
"C2CD3","11","C2"
"TRANK1","3","tetratricopeptide"
"TTC21A","3","tetratricopeptide"
"RPSA","3","ribosomal"
"ENTPD3","3","ectonucleoside"
"CTNNB1","3","catenin"
"ULK4","3","unc-51"
"FADD","11","Fas"
"LTBP3","11","latent"
"NAALADL1","11","N-acetylated"
"SAC3D1","11","SAC3"
"BATF2","11","basic"
"SLC22A11","11","solute"
"SF1","11","splicing"
"MAP4K2","11","mitogen-activated"
"MAJIN","11","membrane"
"CCDC88B","11","coiled-coil"
"SCARA3","8","scavenger"
"PBK","8","PDZ"
"SCARA5","8","scavenger"
"PNOC","8","prepronociceptin"
"COPS6","7","COP9"
"PAFAH1B2","11","platelet"
"ANKS3","16","ankyrin"
"NUDT16L1","16","nudix"
"KIAA1586","6","KIAA1586"
"RAB4A","1","RAB4A,"
"OR1F1","16","olfactory"
"OR2B2","6","olfactory"
"KCNJ4","22","potassium"
"SETD5","3","SET"
"VASN","16","vasorin"
"FAM83B","6","family"
"HIST3H3","1","histone"
"THAP9","4","THAP"
"OR2C1","16","olfactory"
"RNF187","1","ring"
"HOOK3","8","hook"
"MAPK1IP1L","14","mitogen-activated"
"DDIT4","10","DNA"
"RBPJ","4","recombination"
"LMBRD1","6","LMBR1"
"ZCCHC4","4","zinc"
