"scientificName","commonName","criticalHabitat","speciesGroup","Status","specialRules","whereListed"
"Epioblasma florentina florentina","Yellow blossom (pearlymussel)","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma metastriata","Upland combshell","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Epioblasma obliquata obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Epioblasma obliquata perobliqua","White catspaw (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma othcaloogensis","Southern acornshell","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Epioblasma penita","Southern combshell","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma torulosa gubernaculum","Green blossom (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma torulosa rangiana","Northern riffleshell","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Epioblasma torulosa torulosa","Tubercled blossom (pearlymussel)","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Epioblasma triquetra","Snuffbox mussel","N/A","Clams","Endangered","N/A","Wherever found"
"Epioblasma turgidula","Turgid blossom (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Epioblasma turgidula","Turgid blossom (pearlymussel)","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Equus africanus","African wild ass","N/A","Mammals","Endangered","N/A","Wherever found"
"Equus grevyi","Grevy's zebra","N/A","Mammals","Threatened","N/A","Wherever found"
"Equus hemionus","Asian wild ass","N/A","Mammals","Endangered","N/A","Wherever found"
"Equus przewalskii","Przewalski's horse","N/A","Mammals","Endangered","N/A","Wherever found"
"Equus zebra hartmannae","Hartmann's mountain zebra","N/A","Mammals","Threatened","N/A","Wherever found"
"Equus zebra ssp. zebra","Cape Mountain zebra","N/A","Mammals","Endangered","N/A","Entire"
"Equus zebra zebra","Mountain zebra","N/A","Mammals","Endangered","N/A","Wherever found"
"Eremichthys acros","Desert dace","17.95(e)","Fishes","Threatened","17.44(m)","Wherever found"
"Eremophila alpestris strigata","Streaked Horned lark","17.95(i)","Birds","Threatened","17.41(a)","Wherever found"
"Eretmochelys imbricata","Hawksbill sea turtle","17.95(c) 226.209","Reptiles","Endangered","224.104","Wherever found"
"Erignathus barbatus nauticus","bearded Seal","N/A","Mammals","Threatened","N/A","Okhotsk DPS - See 50 CFR 223.102"
"Erimonax monachus","Spotfin Chub","17.95(e)","Fishes","Threatened","17.44(c)","Wherever found except where listed as an experimental population"
"Erimonax monachus","Spotfin Chub","N/A","Fishes","Experimental Population Non-Essential","17.84(m)","U.S.A. (TN-specified portions of the Tellico River; see 17.84(m)(1)(i))"
"Erimonax monachus","Spotfin Chub","N/A","Fishes","Experimental Population Non-Essential","17.84(o)","U.S.A. (AL TN-specified portions of Shoal Creek; see 17.84(m)(1)(ii))"
"Erimonax monachus","Spotfin Chub","N/A","Fishes","Experimental Population Non-Essential","N/A","U.S.A. (TN-specified portions of the French Broad and Holston Rivers; see 17.84(m)(1)(iii))"
"Erimystax cahni","Slender chub","17.95(e)","Fishes","Threatened","17.44(c)","Wherever found"
"Erimystax cahni","Slender chub","N/A","Fishes","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston  Rivers; see 17.84(s)(1)(i))"
"Erinna newcombi","Newcomb's snail","17.95(f)","Snails","Threatened","N/A","Wherever found"
"Eriocnemis nigrivestis","black-breasted puffleg","N/A","Birds","Endangered","N/A","Wherever found"
"Eschrichtius robustus","Gray whale","N/A","Mammals","Endangered","N/A","Western North Pacific DPS See 50 CFR 224.101"
"Etheostoma akatulo","bluemask darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma boschungi","Slackwater darter","17.95(e)","Fishes","Threatened","17.44(c)","Wherever found"
"Etheostoma chermocki","Vermilion darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma chienense","Relict darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma etowahae","Etowah darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma fonticola","Fountain darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma moorei","Yellowcheek Darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma nianguae","Niangua darter","17.95(e)","Fishes","Threatened","17.44(k)","Wherever found"
"Etheostoma nuchale","Watercress darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma okaloosae","Okaloosa darter","N/A","Fishes","Threatened","17.44(bb)","Wherever found"
"Etheostoma percnurum","Duskytail darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma percnurum","Duskytail darter","N/A","Fishes","Experimental Population Non-Essential","17.84(m)","The Tellico River between the backwaters of the Tellico Reservoir (approximately Tellico River mile 19 (30.4 kilometers) and Tellico River mile 33 (52.8 kilometers) near the Tellico Ranger Station Monroe County Tennessee."
"Etheostoma percnurum","Duskytail darter","N/A","Fishes","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.84(q)(1)(ii))"
"Etheostoma phytophilum","Rush Darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma rubrum","Bayou darter","N/A","Fishes","Threatened","17.44(b)","Wherever found"
"Etheostoma scotti","Cherokee darter","N/A","Fishes","Threatened","N/A","Wherever found"
"Etheostoma sellare","Maryland darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma spilotum","Kentucky arrow darter","17.95(e)","Fishes","Threatened","N/A","Wherever found"
"Etheostoma susanae","Cumberland darter","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Etheostoma wapiti","Boulder darter","N/A","Fishes","Endangered","N/A","Wherever found"
"Etheostoma wapiti","Boulder darter","N/A","Fishes","Experimental Population Non-Essential","17.84(o)","Shoal Creek (from Shoal Creek mile 41.7 (66.7 km)) at the mouth of Long Branch Lawrence County TN downstream to the backwaters of Wilson Reservoir (Shoal Creek mile 14 (22 km)) at Goose Shoals Lauderdale County AL including the lower 5 miles (8 km) of all tributaries that enter this reach."
"Eua zebrina","Snail [no common name]","N/A","Snails","Endangered","N/A","Wherever found"
"Eubalaena australis","Southern Right Whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Eubalaena glacialis","North Atlantic Right Whale","17.95(a) 226.203","Mammals","Endangered","N/A","Wherever found"
"Eubalaena japonica","North Pacific Right Whale","N/A","Mammals","Endangered","N/A","Wherever found"
"Eucyclogobius newberryi","Tidewater goby","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Eudyptes chrysocome","southern rockhopper penguin","N/A","Birds","Threatened","N/A","New Zealand-Australia DPS associated with the Campbell Plateau and Macquarie Island"
"Eudyptes pachyrhynchus","fiordland crested penguin","N/A","Birds","Threatened","N/A","Wherever found"
"Eudyptes sclateri","erect-crested penguin","N/A","Birds","Threatened","N/A","Wherever found"
"Eudyptula albosignata","white-flippered penguin","N/A","Birds","Threatened","N/A","Wherever found"
"Eulidia yarrellii","Chilean woodstar","N/A","Birds","Endangered","N/A","Wherever found"
"Eumeces egregius lividus","Bluetail mole skink","N/A","Reptiles","Threatened","17.42(d)","Wherever found"
"Eumetopias jubatus","Steller sea lion","226.202","Mammals","Endangered","N/A","Western DPS - See 50 CFR 224.101"
"Eumops floridanus","Florida bonneted bat","N/A","Mammals","Endangered","N/A","Wherever found"
"Euphilotes battoides allyni","El Segundo blue butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Euphilotes enoptes smithi","Smith's blue butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Euphydryas editha bayensis","Bay checkerspot butterfly","17.95(i)","Insects","Threatened","N/A","Wherever found"
"Euphydryas editha quino (=E. e. wrighti)","Quino checkerspot butterfly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Euphyllia paradivisa","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Euproserpinus euterpe","Kern primrose sphinx moth","N/A","Insects","Threatened","N/A","Wherever found"
"Eurycea chisholmensis","Salado Salamander","N/A","Amphibians","Threatened","N/A","Wherever found"
"Eurycea nana","San Marcos salamander","17.95(d)","Amphibians","Threatened","17.43(a)","Wherever found"
"Eurycea naufragia","Georgetown Salamander","N/A","Amphibians","Threatened","17.43(e)","Wherever found"
"Eurycea sosorum","Barton Springs salamander","N/A","Amphibians","Endangered","N/A","Wherever found"
"Eurycea tonkawae","Jollyville Plateau Salamander","17.95(d)","Amphibians","Threatened","N/A","Wherever found"
"Eurycea waterlooensis","Austin blind Salamander","17.95(d)","Amphibians","Endangered","N/A","Wherever found"
"Eutrichomyias rowleyi","Caerulean Paradise flycatcher","N/A","Birds","Endangered","N/A","Wherever found"
"Eutriorchis astur","Madagascar serpent eagle","N/A","Birds","Endangered","N/A","Wherever found"
"Falco araea","Seychelles kestrel","N/A","Birds","Endangered","N/A","Wherever found"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","N/A","Birds","Endangered","N/A","Wherever found except where listed as an experimental population"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","N/A","Birds","Experimental Population Non-Essential","N/A","U.S.A (AZ NM)"
"Falco peregrinus peregrinus","Eurasian peregrine falcon","N/A","Birds","Endangered","N/A","Wherever found"
"Falco punctatus","Mauritius kestrel","N/A","Birds","Endangered","N/A","Wherever found"
"Felis jacobita","Andean cat","N/A","Mammals","Endangered","N/A","Wherever found"
"Felis margarita scheffeli","Pakistan sand cat","N/A","Mammals","Endangered","N/A","Wherever found"
"Felis nigripes","Black-footed cat","N/A","Mammals","Endangered","N/A","Wherever found"
"Felis pardina","Spanish lynx","N/A","Mammals","Endangered","N/A","Wherever found"
"Formicivora erythronotos","Black hooded (black-headed) antwren","N/A","Birds","Endangered","N/A","Wherever found"
"Foudia flavicans","Rodrigues fody","N/A","Birds","Endangered","N/A","Wherever found"
"Foudia rubra","Mauritius fody","N/A","Birds","Endangered","N/A","Wherever found"
"Foudia sechellarum","Seychelles fody (weaver-finch)","N/A","Birds","Endangered","N/A","Wherever found"
"Francolinus ochropectus","Djibouti francolin","N/A","Birds","Endangered","N/A","Wherever found"
"Fregata andrewsi","Andrew's frigatebird","N/A","Birds","Endangered","N/A","Wherever found"
"Fulica americana alai","Hawaiian coot","N/A","Birds","Endangered","N/A","Wherever found"
"Fusconaia burkei","Tapered pigtoe","17.95(f)","Clams","Threatened","N/A","Wherever found"
"Fusconaia cor","Shiny pigtoe","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Fusconaia cor","Shiny pigtoe","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Fusconaia cor","Shiny pigtoe","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Fusconaia cuneolus","Finerayed pigtoe","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Fusconaia cuneolus","Finerayed pigtoe","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Fusconaia cuneolus","Finerayed pigtoe","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Fusconaia escambia","Narrow pigtoe","17.95(f)","Clams","Threatened","N/A","Wherever found"
"Fusconaia rotulata","Round Ebonyshell","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Gallicolumba stairi","Friendly Ground-Dove","N/A","Birds","Endangered","N/A","American Samoa DPS"
"Gallinula chloropus guami","Mariana common moorhen","N/A","Birds","Endangered","N/A","Wherever found"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","N/A","Birds","Endangered","N/A","Wherever found"
"Gallirallus (=Tricholimnas) sylvestris","Lord Howe wood rail","N/A","Birds","Endangered","N/A","Wherever found"
"Gallotia simonyi simonyi","Hierro giant lizard","N/A","Reptiles","Endangered","N/A","Wherever found"
"Gambelia silus","Blunt-nosed leopard lizard","N/A","Reptiles","Endangered","N/A","Wherever found"
"Gambusia gaigei","Big Bend gambusia","N/A","Fishes","Endangered","N/A","Wherever found"
"Gambusia georgei","San Marcos gambusia","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gambusia heterochir","Clear Creek gambusia","N/A","Fishes","Endangered","N/A","Wherever found"
"Gambusia nobilis","Pecos gambusia","N/A","Fishes","Endangered","N/A","Wherever found"
"Gammarus acherondytes","Illinois cave amphipod","N/A","Crustaceans","Endangered","N/A","Wherever found"
"Gammarus desperatus","Noel's Amphipod","17.95(h)","Crustaceans","Endangered","N/A","Wherever found"
"Gammarus hyalleloides","Diminutive Amphipod","17.95(f)","Crustaceans","Endangered","N/A","Wherever found"
"Gammarus pecos","Pecos amphipod","17.95(f)","Crustaceans","Endangered","N/A","Wherever found"
"Gasterosteus aculeatus williamsoni","Unarmored threespine stickleback","N/A","Fishes","Endangered","N/A","Wherever found"
"Gavialis gangeticus","Gavial","N/A","Reptiles","Endangered","N/A","Wherever found"
"Gazella cuvieri","Mountain (=Cuvier's) gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dama","Dama gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dama lozanoi","Rio de Oro Dama gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dama mhorr","Mhorr gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dorcas massaesyla","Moroccan gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dorcas pelzelni","Pelzeln's gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella dorcas saudiya","Saudi Arabian gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella gazella","Arabian gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella leptoceros","Slender-horned gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Gazella subgutturosa marica","Sand gazelle","N/A","Mammals","Endangered","N/A","Wherever found"
"Geochelone nigra (=elephantopus)","Galapagos tortoise","N/A","Reptiles","Endangered","N/A","Wherever found"
"Geochelone radiata","Madagascar radiated tortoise","N/A","Reptiles","Endangered","N/A","Wherever found"
"Geochelone yniphora","Angulated tortoise","N/A","Reptiles","Endangered","N/A","Wherever found"
"Geoclemys hamiltonii","Spotted pond turtle","N/A","Reptiles","Endangered","N/A","Wherever found"
"Geopsittacus occidentalis","Night (=Australian) parrot","N/A","Birds","Endangered","N/A","Wherever found"
"Geronticus eremita","Northern bald ibis","N/A","Birds","Endangered","N/A","Wherever found"
"Gila bicolor ssp.","Hutton tui chub","N/A","Fishes","Threatened","17.44(j)","Wherever found"
"Gila bicolor ssp. mohavensis","Mohave tui chub","N/A","Fishes","Endangered","N/A","Wherever found"
"Gila bicolor ssp. snyderi","Owens Tui Chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila boraxobius","Borax Lake chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila cypha","Humpback chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila ditaenia","Sonora chub","17.95(e)","Fishes","Threatened","17.44(o)","Wherever found"
"Gila elegans","Bonytail chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila intermedia","Gila chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila nigrescens","Chihuahua chub","N/A","Fishes","Threatened","17.44(g)","Wherever found"
"Gila purpurea","Yaqui chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Gila robusta jordani","Pahranagat roundtail chub","N/A","Fishes","Endangered","N/A","Wherever found"
"Gila seminuda (=robusta)","Virgin River Chub","17.95(e)","Fishes","Endangered","N/A","Wherever found"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","N/A","Mammals","Endangered","N/A","Wherever found"
"Glaucopsyche lygdamus palosverdesensis","Palos Verdes blue butterfly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Gopherus agassizii","Desert tortoise","17.95(c)","Reptiles","Threatened","N/A","Wherever found except AZ south and east of Colorado R. and Mexico"
"Gopherus agassizii","Desert tortoise","N/A","Reptiles","Similarity of Appearance to a Threatened Taxon","17.42(e)","AZ south and east of Colorado R. and Mexico when found outside of Mexico or said range in AZ"
"Gopherus flavomarginatus","Bolson tortoise","N/A","Reptiles","Endangered","N/A","Wherever found"
"Gopherus polyphemus","Gopher tortoise","N/A","Reptiles","Threatened","N/A","Wherever found west of Mobile and Tombigbee Rivers in AL MS and LA"
"Gorilla gorilla","Gorilla","N/A","Mammals","Endangered","N/A","Wherever found"
"Grallaria milleri","Brown-banded antpitta","N/A","Birds","Endangered","N/A","Wherever found"
"Graptemys flavimaculata","Yellow-blotched map turtle","N/A","Reptiles","Threatened","N/A","Wherever found"
"Graptemys oculifera","Ringed map turtle","N/A","Reptiles","Threatened","N/A","Wherever found"
"Grus americana","Whooping crane","17.95(b)","Birds","Endangered","N/A","Wherever found except where listed as an experimental population"
"Grus americana","Whooping crane","N/A","Birds","Experimental Population Non-Essential","17.84(h)","U.S.A. (AL AR CO FL GA ID IL IN IA KY LA MI MN MS MO NC NM OH SC TN UT VA WI WV western half of WY)"
"Grus americana","Whooping crane","N/A","Birds","Experimental Population Non-Essential","17.84(h)","U.S.A. (CO ID FL NM UT and the western  half of Wyoming)"
"Grus americana","Whooping crane","N/A","Birds","Experimental Population Non-Essential","N/A","U.S.A (Southwestern Louisiana)"
"Grus canadensis nesiotes","Cuba sandhill crane","N/A","Birds","Endangered","N/A","Wherever found"
"Grus canadensis pulla","Mississippi sandhill crane","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Grus japonensis","Japanese Crane","N/A","Birds","Endangered","N/A","Wherever found"
"Grus leucogeranus","Siberian white Crane","N/A","Birds","Endangered","N/A","Wherever found"
"Grus monacha","Hooded Crane","N/A","Birds","Endangered","N/A","Wherever found"
"Grus nigricollis","Black-necked Crane","N/A","Birds","Endangered","N/A","Wherever found"
"Grus vipio","White-naped Crane","N/A","Birds","Endangered","N/A","Wherever found"
"Gymnobelideus leadbeateri","Leadbeater's Possum","N/A","Mammals","Endangered","N/A","Wherever found"
"Gymnogyps californianus","California condor","17.95(b)","Birds","Endangered","N/A","U.S.A. only except where listed as an experimental population"
"Gymnogyps californianus","California condor","N/A","Birds","Experimental Population Non-Essential","17.84(j)","U.S.A. (specific portions of Arizona Nevada and Utah)-see 17.84(j)"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","N/A","Birds","Endangered","N/A","Wherever found"
"Haematopus meadewaldoi","Canarian black oystercatcher","N/A","Birds","Endangered","N/A","Wherever found"
"Halcyon cinnamomina cinnamomina","Guam Micronesian kingfisher","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Haliaeetus albicilla groenlandicus","Greenland white-tailed eagle","N/A","Birds","Endangered","N/A","Wherever found"
"Haliaeetus vociferoides","Madagascar sea eagle","N/A","Birds","Endangered","N/A","Wherever found"
"Haliotis cracherodii","Black Abalone","N/A","Snails","Endangered","N/A","Wherever found"
"Haliotis sorenseni","White Abalone","N/A","Snails","Endangered","N/A","North America (West Coast from Point Conception CA U.S.A. to Punta Abreojos Baja California Mexico)"
"Hamiota australis","Southern sandshell","17.95(f)","Clams","Threatened","N/A","Wherever found"
"Harpia harpyja","Harpy eagle","N/A","Birds","Endangered","N/A","Wherever found"
"Helminthoglypta walkeriana","Morro shoulderband (=Banded dune) snail","17.95(f)","Snails","Endangered","N/A","Wherever found"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","N/A","Insects","Similarity of Appearance to a Threatened Taxon","17.47(a)","Wherever found"
"Hemignathus affinis","Maui nukupuu","N/A","Birds","Endangered","N/A","Wherever found"
"Hemignathus hanapepe","Kauai nukupuu","N/A","Birds","Endangered","N/A","Wherever found"
"Hemignathus wilsoni","akiapolaau","N/A","Birds","Endangered","N/A","Wherever found"
"Hemiphaga novaeseelandiae chathamensis","Chatham Island pigeon","N/A","Birds","Endangered","N/A","Wherever found"
"Hemistena lata","Cracking pearlymussel","N/A","Clams","Endangered","N/A","Wherever found; Except where listed as Experimental Populations"
"Hemistena lata","Cracking pearlymussel","N/A","Clams","Experimental Population Non-Essential","17.85(a)","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos. see 17.85(a))"
"Hemistena lata","Cracking pearlymussel","N/A","Clams","Experimental Population Non-Essential","N/A","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Hemitragus jayakari","Arabian tahr","N/A","Mammals","Endangered","N/A","Wherever found"
"Hemitriccus kaempferi","Kaempfer's tody-tyrant","N/A","Birds","Endangered","N/A","Wherever found"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Herpailurus (=Felis) yagouaroundi cacomitli","Gulf Coast jaguarundi","N/A","Mammals","Endangered","N/A","Wherever found"
"Herpailurus (=Felis) yagouaroundi fossata","Guatemalan jaguarundi","N/A","Mammals","Endangered","N/A","MexicoNicaragua"
"Herpailurus (=Felis) yagouaroundi panamensis","Panamanian jaguarundi","N/A","Mammals","Endangered","N/A","Wherever found"
"Herpailurus (=Felis) yagouaroundi tolteca","Sinaloan Jaguarundi","N/A","Mammals","Endangered","N/A","Wherever found"
"Hesperia dacotae","Dakota Skipper","17.95(i)","Insects","Threatened","17.47(b)","Wherever found"
"Hesperia leonardus montana","Pawnee montane skipper","N/A","Insects","Threatened","N/A","Wherever found"
"Heterelmis comalensis","Comal Springs riffle beetle","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Himantopus mexicanus knudseni","Hawaiian stilt","N/A","Birds","Endangered","N/A","Wherever found"
"Himantopus novaezelandiae","Black Stilt","N/A","Birds","Endangered","N/A","Wherever found"
"Hippocamelus antisensis","North Andean huemul","N/A","Mammals","Endangered","N/A","Wherever found"
"Hippocamelus bisulcus","South Andean huemul","N/A","Mammals","Endangered","N/A","Wherever found"
"Hipposideros ridleyi","Singapore roundleaf horseshoe bat","N/A","Mammals","Endangered","N/A","Wherever found"
"Hippotragus niger variani","Giant sable antelope","N/A","Mammals","Endangered","N/A","Wherever found"
"Huso dauricus","Kaluga sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Huso huso","Beluga sturgeon","N/A","Fishes","Threatened","17.44(y)","Wherever found"
"Hyaena hyaena barbara","Barbary hyena","N/A","Mammals","Endangered","N/A","Wherever found"
"Hybognathus amarus","Rio Grande Silvery Minnow","17.95(e)","Fishes","Endangered","N/A","Wherever found except where listed as an experimental population"
"Hybognathus amarus","Rio Grande Silvery Minnow","N/A","Fishes","Experimental Population Non-Essential","17.84(u)","Rio Grande from Little Box Canyon (approximately 10.4 river miles downstream of Fort Quitman TX) to Amistad Dam; and on the Pecos River from its confluence with Independence Creek to its confluence with the Rio Grande"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus assimulans","Assimulans yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus facilis","Easy yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus hilaris","Hilaris yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus kuakea","Hawaiian yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus longiceps","Hawaiian yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylaeus mana","Hawaiian yellow-faced bee","N/A","Insects","Endangered","N/A","Wherever found"
"Hylobates spp. (including Nomascus)","Gibbons","N/A","Mammals","Endangered","N/A","Wherever found"
"Hymenophysa curta","Ayumodoki (loach)","N/A","Fishes","Endangered","N/A","Wherever found"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Hypomesus transpacificus","Delta smelt","17.95(e)","Fishes","Threatened","N/A","Wherever found"
"Hypsipetes borbonicus olivaceus","Mauritius olivaceous Bulbul","N/A","Birds","Endangered","N/A","Wherever found"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Icaricia icarioides fenderi","Fender's blue butterfly","17.95(i)","Insects","Endangered","N/A","Wherever found"
"Icaricia icarioides missionensis","Mission blue butterfly","N/A","Insects","Endangered","N/A","Wherever found"
"Ictalurus pricei","Yaqui catfish","17.95(e)","Fishes","Threatened","17.44(h)","Wherever found"
"Indri indri","Indri lemur","N/A","Mammals","Endangered","N/A","Wherever found"
"Ischnura luta","Rota blue damselfly","N/A","Insects","Endangered","N/A","Wherever found"
"Isopora crateriformis","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Juturnia kosteri","Koster's springsnail","17.95(f)","Snails","Endangered","N/A","Wherever found"
"Kachuga tecta tecta","Indian sawback turtle","N/A","Reptiles","Endangered","N/A","Wherever found"
"Kinosternon sonoriense longifemorale","Sonoyta mud turtle","N/A","Reptiles","Endangered","N/A","Wherever found"
"Kobus leche","Red lechwe","N/A","Mammals","Threatened","N/A","Wherever found"
"Lagorchestes hirsutus","Western hare wallaby","N/A","Mammals","Endangered","N/A","Wherever found"
"Lagostrophus fasciatus","Banded hare wallaby","N/A","Mammals","Endangered","N/A","Wherever found"
"Lagothrix flavicauda","Yellow-tailed woolly monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Lampsilis abrupta","Pink mucket (pearlymussel)","N/A","Clams","Endangered","N/A","Wherever found"
"Lampsilis altilis","Finelined pocketbook","17.95(f)","Clams","Threatened","N/A","Wherever found"
